notification_id,salary_related,transaction_type_mapped,percentage_change_in_holding,volume,n_people
5971,1,Acquisition/Purchase of Shares,0.11428571428571428,271720.0,1
5972,1,Acquisition/Purchase of Shares,0.48091603053435117,428400.0,1
5973,1,Acquisition/Purchase of Shares,0.48091603053435117,428400.0,1
5974,1,Acquisition/Purchase of Shares,0.10324416096911852,150322.5,1
5975,1,Acquisition/Purchase of Shares,0.10324416096911852,150322.5,1
5976,1,Group Not Found,3.0,1719071.088,5
5977,1,Acquisition/Purchase of Shares,1.0,4207122.0200000005,5
5978,1,Disposal/Sale of Shares,-0.3103448275862069,-689400.0,1
5979,1,Disposal/Sale of Shares,-0.3103448275862069,-689400.0,1
5980,1,Acquisition/Purchase of Shares,0.8450704225352113,425700.0,1
5981,1,Acquisition/Purchase of Shares,0.8450704225352113,425700.0,1
5982,1,Disposal/Sale of Shares,-0.2892273572290532,-625992.12,1
5983,1,Disposal/Sale of Shares,-0.2892273572290532,-625992.12,1
5984,1,Acquisition/Purchase of Shares,0.33731924360400445,424800.0,2
5985,1,Acquisition/Purchase of Shares,0.33731924360400445,424800.0,2
5986,1,Acquisition/Purchase of Shares,0.0,5150174.408,5
5987,1,Group Not Found,0.0,0.0,5
5988,0,Disposal/Sale of Shares,-1.0,72070317.5,2
5989,0,Disposal/Sale of Shares,-1.0,72070317.5,2
5990,1,Disposal/Sale of Shares,-0.3409090909090909,-1215000.0,1
5991,1,Disposal/Sale of Shares,-0.3409090909090909,-1215000.0,1
5992,1,Acquisition/Purchase of Shares,1.0,568000.0,1
5993,1,Acquisition/Purchase of Shares,1.0,568000.0,1
5994,1,Disposal/Sale of Shares,-0.32611705751774767,1161151.75,1
5995,1,Disposal/Sale of Shares,-0.324647577092511,-1161151.75,1
5996,1,Acquisition/Purchase of Shares,0.5113636363636364,230625.0,1
5997,1,Acquisition/Purchase of Shares,0.5113636363636364,230625.0,1
5998,1,Acquisition/Purchase of Shares,1.7380952380952381,579842.5,2
5999,1,Acquisition/Purchase of Shares,1.7380952380952381,579842.5,2
6000,1,Acquisition/Purchase of Shares,0.0,1976032.2614285715,7
6001,1,Group Not Found,-0.8571428571428571,0.0,7
6002,1,Acquisition/Purchase of Shares,0.660377358490566,134750.0,1
6003,1,Acquisition/Purchase of Shares,0.660377358490566,134750.0,1
6004,1,Acquisition/Purchase of Shares,0.0,1230500.0,1
6005,1,Group Not Found,0.0,1230500.0,1
6006,1,Acquisition/Purchase of Shares,1.0,127750.0,1
6007,1,Acquisition/Purchase of Shares,1.0,127750.0,1
6008,1,Acquisition/Purchase of Shares,1.0,1232500.0,2
6009,1,Group Not Found,1.0,1232500.0,2
6010,1,Cash Settlement of Rights/Options,0.0,2461000.0,1
6011,1,Group Not Found,0.0,2461000.0,1
6012,1,Acquisition/Purchase of Shares,1.0,502500.0,1
6013,1,Acquisition/Purchase of Shares,1.0,502500.0,1
6014,1,Acquisition/Purchase of Shares,0.6060606060606061,54800.0,1
6015,1,Acquisition/Purchase of Shares,0.6060606060606061,54800.0,1
6016,1,Acquisition/Purchase of Shares,0.8333333333333334,38250.0,1
6017,1,Acquisition/Purchase of Shares,0.8333333333333334,38250.0,1
6018,1,Group Not Found,1.0,1201500.0,1
6019,1,Acquisition/Purchase of Shares,0.0,1201500.0,1
6020,0,Acquisition/Purchase of Shares,0.3333333333333333,126500.0,1
6021,0,Acquisition/Purchase of Shares,1.0,20000160.0,1
6022,0,Acquisition/Purchase of Shares,1.0,20000160.0,1
6023,0,Acquisition/Purchase of Shares,0.5,112000.0,1
6024,0,Acquisition/Purchase of Shares,0.5,112000.0,1
6025,0,Acquisition/Purchase of Shares,0.07692307692307693,41000.0,1
6026,0,Acquisition/Purchase of Shares,1.0,90500.0,1
6027,0,Acquisition/Purchase of Shares,1.0,90500.0,1
6028,0,Acquisition/Purchase of Shares,0.0482999102426668,4896000.0,1
6029,0,Acquisition/Purchase of Shares,0.1187707890534001,1517820.1,1
6030,0,Acquisition/Purchase of Shares,0.029488427246590822,3331904.0,1
6031,0,Acquisition/Purchase of Shares,0.08333333333333333,36000.0,1
6032,0,Acquisition/Purchase of Shares,0.08333333333333333,36000.0,1
6033,0,Acquisition/Purchase of Shares,0.07142857142857142,29400.0,1
6034,0,Acquisition/Purchase of Shares,0.07142857142857142,29400.0,1
6035,0,Acquisition/Purchase of Shares,0.043787438259712055,4440000.0,1
6036,0,Acquisition/Purchase of Shares,0.7692307692307693,149600.0,1
6037,0,Acquisition/Purchase of Shares,0.7692307692307693,149600.0,1
6038,0,Acquisition/Purchase of Shares,0.013173227647806927,1349562.0,1
6039,0,Acquisition/Purchase of Shares,1.0,197080.0,1
6040,0,Acquisition/Purchase of Shares,1.0,197080.0,1
6041,0,Acquisition/Purchase of Shares,0.0973678231800331,9300000.0,1
6042,0,Acquisition/Purchase of Shares,0.06479817528338402,0.0,1
6043,0,Acquisition/Purchase of Shares,0.06479817528338402,6000000.0,1
6044,0,Disposal/Sale of Shares,-1.0,31978000.0,1
6045,0,Disposal/Sale of Shares,-1.0,31780.0,1
6046,0,Acquisition/Purchase of Shares,0.07692307692307693,33300.0,1
6047,0,Acquisition/Purchase of Shares,0.07692307692307693,33300.0,1
6048,0,Acquisition/Purchase of Shares,0.10383974944638255,9091647.0,1
6049,0,Acquisition/Purchase of Shares,0.037896724842418676,3196881.0,1
6050,0,Acquisition/Purchase of Shares,0.03628269566109345,2953562.0,1
6051,0,Acquisition/Purchase of Shares,0.005051546391752577,406700.0,1
6052,0,Acquisition/Purchase of Shares,3.0,946680.0,1
6053,0,Acquisition/Purchase of Shares,3.0,946680.0,1
6054,0,Acquisition/Purchase of Shares,1.0,9858.0,1
6055,0,Acquisition/Purchase of Shares,1.0,9858.0,1
6056,0,Acquisition/Purchase of Shares,1.0,49500.0,1
6057,0,Acquisition/Purchase of Shares,1.0,49500.0,1
6058,0,Acquisition/Purchase of Shares,0.04,14400.0,1
